name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
,0,51473809,water,,6.923823999986302e-07,POINT (-94.907978 43.3962936),"POLYGON ((-94.90742109999999 43.3958662, -94.9075342 43.3958877, -94.9076744 43.3959493, -94.9077121 43.3959703, -94.9077594 43.3959839, -94.90788089999999 43.3959981, -94.9079449 43.3959898, -94.90802290000001 43.3959984, -94.9080788 43.396047, -94.90807839999999 43.396074, -94.908041 43.3961017, -94.9080218 43.3961218, -94.9079648 43.3962317, -94.9079448 43.396341, -94.9079825 43.396362, -94.9080246 43.3963658, -94.90803870000001 43.396343, -94.9081248 43.3962939, -94.90822850000001 43.3961364, -94.9083523 43.3960271, -94.90840919999999 43.3959929, -94.9084797 43.3959962, -94.90853130000001 43.3960278, -94.9085489 43.3960761, -94.9085489 43.3961166, -94.90857699999999 43.3961441, -94.9086707 43.3961785, -94.9086997 43.3961996, -94.90870320000001 43.3962302, -94.90864240000001 43.3963023, -94.9086322 43.3963295, -94.9085942 43.3963779, -94.9085082 43.3965486, -94.9084519 43.3966036, -94.9083857 43.3966587, -94.9083198 43.396685, -94.9082341 43.3967062, -94.908036 43.3966915, -94.90790509999999 43.3966496, -94.9077454 43.3965604, -94.9076044 43.3965114, -94.9074736 43.3964362, -94.9074519 43.3964149, -94.90742520000001 43.3963514, -94.9074329 43.3961235, -94.90740049999999 43.3961132, -94.90734399999999 43.3960854, -94.9073068 43.3960788, -94.9072779 43.3960649, -94.9072501 43.3960437, -94.90723130000001 43.3959963, -94.90724179999999 43.3959754, -94.90735460000001 43.3958727, -94.90742109999999 43.3958662))"
,1,51473857,wetland,,1.6822553549994627e-06,POINT (-94.9038929 43.3939026),"POLYGON ((-94.90293029999999 43.3931083, -94.9030053 43.3931772, -94.9030899 43.3932389, -94.9031647 43.3932601, -94.9033812 43.3932745, -94.9034757 43.3932955, -94.9035884 43.3933845, -94.903672 43.3934129, -94.903785 43.3934335, -94.90381259999999 43.3934474, -94.9038606 43.3934818, -94.9039068 43.3935368, -94.9039618 43.3937151, -94.9039952 43.3937568, -94.9040555 43.393791, -94.9041359 43.393795, -94.9041971 43.3937778, -94.90428199999999 43.3937305, -94.9043386 43.3936827, -94.90438589999999 43.3936549, -94.9044519 43.3936349, -94.90460779999999 43.3936458, -94.90490370000001 43.3937111, -94.9050166 43.3937254, -94.9050639 43.3937391, -94.9050819 43.3937604, -94.9050869 43.3938044, -94.9050769 43.3938388, -94.9050434 43.3939105, -94.9050148 43.3939452, -94.9049955 43.3939995, -94.9049481 43.3940615, -94.904939 43.3940887, -94.90488209999999 43.3941644, -94.9048624 43.3942052, -94.9048145 43.3942528, -94.90478640000001 43.394301, -94.9047291 43.3943623, -94.90468180000001 43.3943901, -94.9045598 43.3944372, -94.90442280000001 43.3944403, -94.9043052 43.3944297, -94.9042492 43.3944567, -94.90419230000001 43.394491, -94.90412619999999 43.3945119, -94.90403809999999 43.3945746, -94.9039296 43.3945809, -94.90385209999999 43.3945516, -94.9037403 43.394449, -94.90369370000001 43.394421, -94.9036274 43.3943933, -94.9034956 43.3943657, -94.9034114 43.3943176, -94.9033745 43.3942831, -94.9033178 43.3942075, -94.9032902 43.3941522, -94.90325420000001 43.393988, -94.9032358 43.3939532, -94.9031416 43.3938638, -94.90304810000001 43.3937951, -94.9029364 43.3936988, -94.90292669999999 43.3936639, -94.9029273 43.3936432, -94.9029554 43.3935959, -94.9030401 43.3935413, -94.9030592 43.3935203, -94.9030508 43.3934862, -94.9030229 43.3934651, -94.9027877 43.3934438, -94.90275889999999 43.3934308, -94.902731 43.3934096, -94.9027217 43.393389, -94.9027227 43.3932999, -94.9027512 43.3932661, -94.9027703 43.3932037, -94.9028177 43.3931425, -94.9028455 43.3931223, -94.90293029999999 43.3931083))"
,2,51473894,wetland,,1.1760192550000342e-06,POINT (-94.9047364 43.3997681),"POLYGON ((-94.9042616 43.3994232, -94.9046 43.3994248, -94.90535300000001 43.3994546, -94.9058 43.399494, -94.9058423 43.3995041, -94.9058888 43.3995312, -94.9058976 43.3996139, -94.9057991 43.3997029, -94.9054632 43.3998597, -94.90509419999999 43.400064, -94.9048768 43.4001802, -94.904811 43.4002074, -94.9047729 43.4002143, -94.9047071 43.4002415, -94.9045569 43.4002548, -94.9045095 43.4002412, -94.9043647 43.4001509, -94.90429450000001 43.4001169, -94.9042096 43.4000886, -94.9039274 43.4000672, -94.9038798 43.4000473, -94.903852 43.4000261, -94.9038159 43.3999367, -94.9038152 43.3998755, -94.90386340000001 43.3997585, -94.9039203 43.3996837, -94.90395030000001 43.3994987, -94.9039458 43.399433, -94.9042616 43.3994232))"
,3,51473910,wetland,,3.096742400001056e-07,POINT (-94.8968526 43.388583),"POLYGON ((-94.8972215 43.3883435, -94.8973622 43.3883817, -94.8974091 43.3884196, -94.8974085 43.3884403, -94.8973804 43.3884885, -94.89735159999999 43.3885151, -94.8972426 43.3885836, -94.8968035 43.3887952, -94.89666200000001 43.3888498, -94.89654880000001 43.3888625, -94.8965117 43.3888622, -94.8964465 43.3888282, -94.8963945 43.3887453, -94.8964005 43.3886218, -94.89641899999999 43.388581, -94.896528 43.3885126, -94.89672160000001 43.3884247, -94.896845 43.3883831, -94.8972215 43.3883435))"
,4,51473919,water,,1.7328551999829885e-07,POINT (-94.9047126 43.3986641),"POLYGON ((-94.90475720000001 43.3984515, -94.90479550000001 43.3984509, -94.9048992 43.3984897, -94.9049551 43.398541, -94.9049776 43.3986271, -94.9049534 43.3987607, -94.9049342 43.3987809, -94.9048796 43.3988115, -94.90479190000001 43.398849, -94.9046799 43.3988625, -94.9045575 43.3988556, -94.90448689999999 43.398809, -94.90443550000001 43.398745, -94.9044167 43.3986967, -94.9045399 43.3985326, -94.9045883 43.3984985, -94.90466379999999 43.3984648, -94.90475720000001 43.3984515))"
,5,51474056,wetland,,2.8407081700013107e-06,POINT (-94.8978104 43.3970523),"POLYGON ((-94.8980775 43.3964205, -94.8982948 43.3964214, -94.8983556 43.3964312, -94.89853859999999 43.3964767, -94.8988301 43.3965601, -94.8992808 43.3966778, -94.8994031 43.3967199, -94.8994684 43.3967539, -94.8995444 43.3968157, -94.8995815 43.3968574, -94.89961769999999 43.3969469, -94.8995893 43.3970284, -94.89952340000001 43.3970907, -94.89949420000001 43.3971038, -94.8992452 43.3971205, -94.8990139 43.3971847, -94.89871170000001 43.3972761, -94.89849030000001 43.3973032, -94.898363 43.3973405, -94.8982503 43.3973675, -94.8981746 43.3973949, -94.8980526 43.3974419, -94.8979382 43.397497, -94.8978632 43.3975477, -94.8976638 43.3977635, -94.8976346 43.3978181, -94.8975976 43.3978592, -94.89753140000001 43.3979143, -94.89750220000001 43.3979274, -94.89742750000001 43.3979475, -94.8972387 43.3979129, -94.8971446 43.3978649, -94.8968555 43.3976239, -94.89676609999999 43.3975686, -94.89648889999999 43.397431, -94.89645179999999 43.3973893, -94.89640559999999 43.3972928, -94.89638739999999 43.3971832, -94.8964167 43.3970945, -94.89645470000001 43.3970461, -94.8964732 43.3970053, -94.89675800000001 43.3966764, -94.8968804 43.3966015, -94.8969658 43.3965677, -94.8973287 43.3965238, -94.8975971 43.3964599, -94.8976771 43.3964496, -94.8980775 43.3964205))"
,6,51474096,water,,2.2261710000131325e-07,POINT (-94.89793659999999 43.3893256),"POLYGON ((-94.8982231 43.3891427, -94.8983077 43.3892043, -94.8983066 43.3892457, -94.89827870000001 43.3893416, -94.8982018 43.3894104, -94.89807020000001 43.3895054, -94.89803209999999 43.3895123, -94.8979097 43.3895458, -94.8977683 43.3895257, -94.89766539999999 43.3894698, -94.8976186 43.3894354, -94.897592 43.3892567, -94.8976009 43.3892232, -94.89767689999999 43.3891679, -94.8982231 43.3891427))"
,7,51474487,lake,,3.983880918500299e-05,POINT (-94.9066414 43.3938629),"POLYGON ((-94.9060434 43.3895376, -94.90607199999999 43.3895443, -94.90612710000001 43.3896064, -94.9061459 43.3896538, -94.90614619999999 43.389743, -94.90611680000001 43.3897912, -94.9060652 43.3898389, -94.9059081 43.3900243, -94.9053574 43.3906944, -94.90514880000001 43.3909337, -94.9051207 43.3909819, -94.905092 43.3910094, -94.9050733 43.391043, -94.90496779999999 43.3911457, -94.90490250000001 43.3912278, -94.90488240000001 43.3912965, -94.90482590000001 43.3913857, -94.9047832 43.3914783, -94.9047633 43.3915533, -94.904768 43.3915848, -94.90478589999999 43.3916052, -94.90492329999999 43.3916155, -94.9050032 43.3916061, -94.90508699999999 43.3916407, -94.90511530000001 43.3916744, -94.9051248 43.3917022, -94.905153 43.3917368, -94.9051613 43.3917637, -94.90521270000001 43.3918277, -94.9052547 43.3918675, -94.90531110000001 43.3918945, -94.9053863 43.3919707, -94.90537639999999 43.392087, -94.90546070000001 43.3921765, -94.9054691 43.3922106, -94.9054215 43.3922654, -94.905242 43.3924089, -94.9052038 43.39245, -94.9052222 43.3924848, -94.9052598 43.3925049, -94.9053396 43.3925297, -94.9055427 43.392547, -94.90557029999999 43.392561, -94.90559829999999 43.3925884, -94.9056167 43.3926232, -94.9056076 43.3926504, -94.9055791 43.3926842, -94.90557870000001 43.3927121, -94.9055506 43.3927603, -94.9055489 43.3929044, -94.9055401 43.3929379, -94.9055015 43.3929655, -94.905473 43.3929651, -94.90538859999999 43.3929512, -94.90531350000001 43.3929173, -94.9052579 43.3928759, -94.9052387 43.3928546, -94.905173 43.3928476, -94.9050883 43.3928616, -94.9050029 43.3928955, -94.9049612 43.3929052, -94.9049651 43.3929501, -94.9050215 43.392978, -94.9050687 43.3929844, -94.9051154 43.3930197, -94.9051521 43.3932045, -94.90517989999999 43.3932257, -94.9052075 43.3932387, -94.9053868 43.3932466, -94.90541930000001 43.3932604, -94.9054902 43.3933151, -94.9055183 43.3933461, -94.9056404 43.3934188, -94.9056964 43.3934323, -94.9057902 43.3934334, -94.90581899999999 43.3934059, -94.90583770000001 43.3933714, -94.9059137 43.3932756, -94.9059233 43.3932277, -94.905924 43.3931314, -94.90590520000001 43.3930839, -94.90582190000001 43.3929872, -94.9057957 43.392939, -94.9058502 43.3929048, -94.9059165 43.3928911, -94.9060018 43.3928572, -94.9060387 43.3928503, -94.90628510000001 43.3927553, -94.90653949999999 43.3926394, -94.9068606 43.3924828, -94.90692679999999 43.392469, -94.9069552 43.3924695, -94.90708669999999 43.3924898, -94.9072365 43.39258, -94.9072742 43.3926415, -94.9073212 43.3926831, -94.9073583 43.3927248, -94.90738589999999 43.3927378, -94.9074987 43.3927522, -94.9076361 43.3927219, -94.9077259 43.3927114, -94.9077819 43.3927258, -94.90783829999999 43.3927528, -94.90796 43.3927742, -94.90802600000001 43.3927542, -94.9080929 43.3927197, -94.90819639999999 43.3927135, -94.9082617 43.3927475, -94.9082803 43.3928301, -94.90830769999999 43.3928782, -94.9083358 43.3929057, -94.90838309999999 43.3929193, -94.90853300000001 43.3929339, -94.90859930000001 43.3929616, -94.9086176 43.3929955, -94.9086556 43.3930237, -94.9087019 43.3930445, -94.90878669999999 43.3930305, -94.90881570000001 43.3930102, -94.90880629999999 43.3929482, -94.90881589999999 43.3929004, -94.90878910000001 43.3927153, -94.90883669999999 43.3926191, -94.9089134 43.392544, -94.9089596 43.3925234, -94.9090076 43.3925172, -94.90907350000001 43.3925305, -94.9091476 43.3925725, -94.9091763 43.3926206, -94.9092309 43.3928259, -94.90925919999999 43.3928606, -94.9093055 43.3928814, -94.90947540000001 43.3929056, -94.9095178 43.3929193, -94.9096256 43.3929301, -94.9097474 43.3929172, -94.90979489999999 43.3928966, -94.9098614 43.3928901, -94.9099557 43.3929039, -94.9102559 43.3930285, -94.9104578 43.3931251, -94.91064059999999 43.3932454, -94.9106774 43.3932763, -94.9107717 43.3933314, -94.91099629999999 43.3934078, -94.9111565 43.3934358, -94.9113072 43.3934774, -94.91141020000001 43.3935324, -94.9116168 43.3936631, -94.91165820000001 43.393684, -94.9118222 43.3937947, -94.9119061 43.3939113, -94.9119244 43.3939803, -94.9119998 43.3940628, -94.9120746 43.3941245, -94.9121495 43.3941521, -94.9123003 43.3941937, -94.91239880000001 43.3942254, -94.9125162 43.3942288, -94.91279830000001 43.3942088, -94.91298740000001 43.3941723, -94.9132041 43.3941147, -94.91333590000001 43.3940665, -94.9133834 43.3940459, -94.91348670000001 43.3940325, -94.9135156 43.3940464, -94.9135613 43.3942041, -94.9136036 43.3942151, -94.9136556 43.3942188, -94.9137023 43.3942117, -94.91373110000001 43.3941842, -94.9137401 43.394157, -94.9137686 43.3941232, -94.9138262 43.3940682, -94.91385440000001 43.3940615, -94.9138828 43.394061, -94.91393840000001 43.3941024, -94.913939 43.3941231, -94.91398479999999 43.3941646, -94.914126 43.3941785, -94.91422009999999 43.3942273, -94.9143045 43.3942412, -94.91436090000001 43.3942277, -94.9144084 43.3942071, -94.9144465 43.3942001, -94.914494 43.3941795, -94.9145693 43.3941801, -94.914597 43.3941958, -94.91460549999999 43.3942695, -94.9145868 43.394304, -94.9145489 43.3944334, -94.9145336 43.394458, -94.9145384 43.3945714, -94.9145753 43.394605, -94.9147535 43.3946947, -94.9148938 43.3948391, -94.91493079999999 43.3949151, -94.9149572 43.3952037, -94.9149941 43.3952382, -94.91504209999999 43.3952725, -94.9150884 43.3952933, -94.91515390000001 43.3953345, -94.9151822 43.3953692, -94.9152004 43.3954373, -94.9151529 43.3954993, -94.9151439 43.3955265, -94.91506750000001 43.3956088, -94.9150204 43.3956429, -94.9149065 43.3957105, -94.9148026 43.3957447, -94.91471780000001 43.3957587, -94.91465169999999 43.3957373, -94.9146052 43.3957102, -94.91437089999999 43.3955241, -94.91432450000001 43.3955033, -94.9141075 43.395551, -94.9140132 43.3955778, -94.91383860000001 43.3956014, -94.91368319999999 43.3956455, -94.9132963 43.3958293, -94.91317309999999 43.3958773, -94.91305029999999 43.3958974, -94.91291940000001 43.3958969, -94.91280639999999 43.3958762, -94.91276860000001 43.3958517, -94.91274060000001 43.3958278, -94.912712 43.3957797, -94.91267620000001 43.3956632, -94.9126711 43.3956183, -94.9126866 43.3953677, -94.9126782 43.3953336, -94.9126505 43.3952783, -94.9126134 43.3952375, -94.9125286 43.3952101, -94.9122368 43.3952366, -94.9121896 43.3952292, -94.9121525 43.3951875, -94.91210580000001 43.395037, -94.9120775 43.3950024, -94.91200310000001 43.3949541, -94.91189 43.3949677, -94.9118137 43.3950158, -94.91174770000001 43.3950772, -94.91171780000001 43.3953443, -94.9116803 43.3954061, -94.9116324 43.3954537, -94.9115549 43.3954622, -94.9112183 43.3954391, -94.9110201 43.3954586, -94.91097259999999 43.3954792, -94.91081250000001 43.3954927, -94.9107664 43.395479, -94.9106912 43.3954443, -94.9105493 43.3954097, -94.91042280000001 43.395392, -94.910258 43.3953741, -94.91013580000001 43.3953743, -94.9100514 43.3954009, -94.9098528 43.395524, -94.9098051 43.3955374, -94.9096471 43.3955391, -94.909598 43.3955507, -94.9095322 43.395578, -94.9094563 43.3955981, -94.9094094 43.395598, -94.9093151 43.3955843, -94.90913759999999 43.3955152, -94.9090235 43.3955009, -94.9089859 43.3955213, -94.9089676 43.3955694, -94.9089761 43.3956034, -94.90899520000001 43.3956211, -94.9090796 43.3956729, -94.90918310000001 43.3957071, -94.9092484 43.3957421, -94.90931449999999 43.3957626, -94.9093937 43.395845, -94.90937 43.3958796, -94.9090731 43.3958611, -94.9089001 43.3958163, -94.9084678 43.3956948, -94.9082981 43.3956769, -94.90815139999999 43.3956865, -94.90804369999999 43.3957171, -94.9079775 43.3957309, -94.90792070000001 43.3957309, -94.9078792 43.3957064, -94.9078932 43.3956827, -94.9079315 43.3956416, -94.9080167 43.3955249, -94.90803560000001 43.3954571, -94.9080355 43.3954156, -94.9080179 43.3953673, -94.90797070000001 43.3953195, -94.90792399999999 43.3952851, -94.90785889999999 43.3952574, -94.9078016 43.3952431, -94.9076792 43.3952361, -94.9075948 43.3952636, -94.90750060000001 43.3953282, -94.9073389 43.3954885, -94.907211 43.3955843, -94.9071503 43.3956186, -94.90708429999999 43.3956386, -94.9069806 43.3956385, -94.9067874 43.395621, -94.90651889999999 43.395603, -94.90645259999999 43.3956167, -94.906358 43.3956714, -94.9063393 43.395705, -94.906311 43.3957874, -94.90625369999999 43.3958487, -94.9062072 43.395863, -94.9060982 43.3958522, -94.9059814 43.3958272, -94.9059338 43.3958072, -94.9058965 43.3957998, -94.9058302 43.395772, -94.9056939 43.3957545, -94.9055954 43.3957652, -94.9055479 43.3957849, -94.9054529 43.3958675, -94.9054435 43.3959217, -94.9054242 43.3959769, -94.9053292 43.3960586, -94.90521630000001 43.3961199, -94.9051501 43.3961336, -94.9050562 43.3961334, -94.90497120000001 43.3960988, -94.904766 43.3959753, -94.9043243 43.3957503, -94.9042773 43.3957061, -94.9042407 43.3956436, -94.9041847 43.3955887, -94.9039964 43.3954919, -94.90391940000001 43.3954761, -94.9037519 43.3954915, -94.90365799999999 43.3955291, -94.9034588 43.395635, -94.903299 43.3956953, -94.90311079999999 43.3956813, -94.90297870000001 43.3956403, -94.9028572 43.3955847, -94.90274410000001 43.3955641, -94.902659 43.3956051, -94.9025408 43.3956935, -94.9025177 43.3957074, -94.9023943 43.3957482, -94.902305 43.3957371, -94.9022255 43.3957204, -94.9021449 43.3957091, -94.9019431 43.3956918, -94.9017221 43.3956945, -94.90164129999999 43.395677, -94.9015666 43.3956557, -94.90150130000001 43.3956217, -94.90131359999999 43.3955041, -94.90121980000001 43.3954256, -94.9011826 43.3953802, -94.90109870000001 43.3953051, -94.9008254 43.3952898, -94.90075 43.3952488, -94.900732 43.3951869, -94.90073719999999 43.3951148, -94.90081859999999 43.3949541, -94.9008189 43.3949262, -94.9008096 43.3949056, -94.9006131 43.3947405, -94.9006416 43.3946653, -94.90082150000001 43.3944948, -94.90087920000001 43.3944056, -94.9009162 43.3943645, -94.90099290000001 43.3942894, -94.90112999999999 43.3941728, -94.9012005 43.3941392, -94.9012668 43.3941255, -94.90138899999999 43.3940847, -94.90145579999999 43.3940503, -94.9014933 43.3940236, -94.9015029 43.3940162, -94.9015112 43.3940053, -94.9015594 43.393927, -94.9016736 43.3937495, -94.90178849999999 43.